CONCEPT_CD	UMLS_NAME	OMOP_CONCEPT_NAME	NS_CONCEPT_ID	S_CONCEPT_ID
LOINC:10466-1	Anion gap 3:SCnc:Pt:Ser/Plas:Qn	Anion gap 3 in Serum or Plasma	3021391	3021391
LOINC:1742-6	Alanine aminotransferase:CCnc:Pt:Ser/Plas:Qn	Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma	3006923	3006923
LOINC:1744-2	Alanine aminotransferase:CCnc:Pt:Ser/Plas:Qn:No addition of P-5'-P	Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by No addition of P-5'-P	3027388	3027388
LOINC:1751-7	Albumin:MCnc:Pt:Ser/Plas:Qn	Albumin [Mass/volume] in Serum or Plasma	3024561	3024561
LOINC:17861-6	Calcium:MCnc:Pt:Ser/Plas:Qn	Calcium [Mass/volume] in Serum or Plasma	3006906	3006906
LOINC:19123-9	Magnesium:MCnc:Pt:Ser/Plas:Qn	Magnesium [Mass/volume] in Serum or Plasma	3001420	3001420
LOINC:1920-8	Aspartate aminotransferase:CCnc:Pt:Ser/Plas:Qn	Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma	3013721	3013721
LOINC:1960-4	Bicarbonate:SCnc:Pt:BldA:Qn	Bicarbonate [Moles/volume] in Arterial blood	3008152	3008152
LOINC:1962-0	Bicarbonate:SCnc:Pt:Plas:Qn	Bicarbonate [Moles/volume] in Plasma	3015473	3015473
LOINC:1963-8	Bicarbonate:SCnc:Pt:Ser/Plas:Qn	Bicarbonate [Moles/volume] in Serum or Plasma	3016293	3016293
LOINC:1975-2	Bilirubin:MCnc:Pt:Ser/Plas:Qn	Bilirubin.total [Mass/volume] in Serum or Plasma	3024128	3024128
LOINC:2019-8	Carbon dioxide:PPres:Pt:BldA:Qn	Carbon dioxide [Partial pressure] in Arterial blood	3027946	3027946
LOINC:2028-9	Carbon dioxide:SCnc:Pt:Ser/Plas:Qn	Carbon dioxide, total [Moles/volume] in Serum or Plasma	3015632	3015632
LOINC:20564-1	Oxygen saturation:MFr:Pt:Bld:Qn	Oxygen saturation in Blood	3013502	3013502
LOINC:20570-8	Hematocrit:VFr:Pt:Bld:Qn	Hematocrit [Volume Fraction] of Blood	3009542	3009542
LOINC:2075-0	Chloride:SCnc:Pt:Ser/Plas:Qn	Chloride [Moles/volume] in Serum or Plasma	3014576	3014576
LOINC:2160-0	Creatinine:MCnc:Pt:Ser/Plas:Qn	Creatinine [Mass/volume] in Serum or Plasma	3016723	3016723
LOINC:2339-0	Glucose:MCnc:Pt:Bld:Qn	Glucose [Mass/volume] in Blood	3000483	3000483
LOINC:2345-7	Glucose:MCnc:Pt:Ser/Plas:Qn	Glucose [Mass/volume] in Serum or Plasma	3004501	3004501
LOINC:26450-7	Eosinophils/100 leukocytes:NFr:Pt:Bld:Qn	Eosinophils/100 leukocytes in Blood	3006504	3006504
LOINC:26485-3	Monocytes/100 leukocytes:NFr:Pt:Bld:Qn	Monocytes/100 leukocytes in Blood	3019069	3019069
LOINC:2703-7	Oxygen:PPres:Pt:BldA:Qn	Oxygen [Partial pressure] in Arterial blood	3027801	3027801
LOINC:2708-6	Oxygen saturation:MFr:Pt:BldA:Qn	Oxygen saturation in Arterial blood	3016502	3016502
LOINC:2711-0	Oxygen saturation:MFr:Pt:BldV:Qn	Oxygen saturation in Venous blood	3024928	3024928
LOINC:2713-6	Oxygen saturation:MFr:Pt:Bld:Qn:Calculated from oxygen partial pressure	Oxygen saturation Calculated from oxygen partial pressure in Blood	3011367	3011367
LOINC:2744-1	pH:LsCnc:Pt:BldA:Qn	pH of Arterial blood	3019977	3019977
LOINC:2777-1	Phosphate:MCnc:Pt:Ser/Plas:Qn	Phosphate [Mass/volume] in Serum or Plasma	3011904	3011904
LOINC:2823-3	Potassium:SCnc:Pt:Ser/Plas:Qn	Potassium [Moles/volume] in Serum or Plasma	3023103	3023103
LOINC:2885-2	Protein:MCnc:Pt:Ser/Plas:Qn	Protein [Mass/volume] in Serum or Plasma	3020630	3020630
LOINC:2951-2	Sodium:SCnc:Pt:Ser/Plas:Qn	Sodium [Moles/volume] in Serum or Plasma	3019550	3019550
LOINC:30180-4	Basophils/100 leukocytes:NFr:Pt:Bld:Qn	Basophils/100 leukocytes in Blood	3022096	3022096
LOINC:3094-0	Urea nitrogen:MCnc:Pt:Ser/Plas:Qn	Urea nitrogen [Mass/volume] in Serum or Plasma	3013682	3013682
