CONCEPT_CD	UMLS_NAME	OMOP_CONCEPT_NAME	NS_CONCEPT_ID	S_CONCEPT_ID
ICD10PCS:009U3ZX	Drainage of Spinal Canal, Percutaneous Approach, Diagnostic	Drainage of Spinal Canal, Percutaneous Approach, Diagnostic	2722637	2722637
ICD10PCS:01NB0ZZ	Release Lumbar Nerve, Open Approach	Release Lumbar Nerve, Open Approach	2724536	2724536
ICD10PCS:027034Z	Dilation of Coronary Artery, One Artery with Drug-eluting Intraluminal Device, Percutaneous Approach	Dilation of Coronary Artery, One Artery with Drug-eluting Intraluminal Device, Percutaneous Approach	2725905	2725905
ICD10PCS:02HV33Z	Insertion of Infusion Device into Superior Vena Cava, Percutaneous Approach	Insertion of Infusion Device into Superior Vena Cava, Percutaneous Approach	2726351	2726351
ICD10PCS:03HY32Z	Insertion of Monitoring Device into Upper Artery, Percutaneous Approach	Insertion of Monitoring Device into Upper Artery, Percutaneous Approach	2728511	2728511
ICD10PCS:0BH17EZ	Insertion of Endotracheal Airway into Trachea, Via Natural or Artificial Opening	Insertion of Endotracheal Airway into Trachea, Via Natural or Artificial Opening	2745444	2745444
ICD10PCS:0BJ08ZZ	Inspection of Tracheobronchial Tree, Via Natural or Artificial Opening Endoscopic	Inspection of Tracheobronchial Tree, Via Natural or Artificial Opening Endoscopic	2741878	2741878
ICD10PCS:0CJS8ZZ	Inspection of Larynx, Via Natural or Artificial Opening Endoscopic	Inspection of Larynx, Via Natural or Artificial Opening Endoscopic	2748642	2748642
ICD10PCS:0DB68ZX	Excision of Stomach, Via Natural or Artificial Opening Endoscopic, Diagnostic	Excision of Stomach, Via Natural or Artificial Opening Endoscopic, Diagnostic	2746773	2746773
ICD10PCS:0DB98ZX	Excision of Duodenum, Via Natural or Artificial Opening Endoscopic, Diagnostic	Excision of Duodenum, Via Natural or Artificial Opening Endoscopic, Diagnostic	2746803	2746803
ICD10PCS:0DH67UZ	Insertion of Feeding Device into Stomach, Via Natural or Artificial Opening	Insertion of Feeding Device into Stomach, Via Natural or Artificial Opening	2748609	2748609
ICD10PCS:0DJ08ZZ	Inspection of Upper Intestinal Tract, Via Natural or Artificial Opening Endoscopic	Inspection of Upper Intestinal Tract, Via Natural or Artificial Opening Endoscopic	2749119	2749119
ICD10PCS:0DJD8ZZ	Inspection of Lower Intestinal Tract, Via Natural or Artificial Opening Endoscopic	Inspection of Lower Intestinal Tract, Via Natural or Artificial Opening Endoscopic	2749131	2749131
ICD10PCS:0FT44ZZ	Resection of Gallbladder, Percutaneous Endoscopic Approach	Resection of Gallbladder, Percutaneous Endoscopic Approach	2753505	2753505
ICD10PCS:0HQ9XZZ	Repair Perineum Skin, External Approach	Repair Perineum Skin, External Approach	2756499	2756499
ICD10PCS:0KQM0ZZ	Repair Perineum Muscle, Open Approach	Repair Perineum Muscle, Open Approach	2756126	2756126
ICD10PCS:0SRC0J9	Replacement of Right Knee Joint with Synthetic Substitute, Cemented, Open Approach	Replacement of Right Knee Joint with Synthetic Substitute, Cemented, Open Approach	2774098	2774098
ICD10PCS:0SRD0J9	Replacement of Left Knee Joint with Synthetic Substitute, Cemented, Open Approach	Replacement of Left Knee Joint with Synthetic Substitute, Cemented, Open Approach	2774103	2774103
ICD10PCS:0T9B70Z	Drainage of Bladder with Drainage Device, Via Natural or Artificial Opening	Drainage of Bladder with Drainage Device, Via Natural or Artificial Opening	2777444	2777444
ICD10PCS:0U7C7ZZ	Dilation of Cervix, Via Natural or Artificial Opening	Dilation of Cervix, Via Natural or Artificial Opening	2775777	2775777
ICD10PCS:0VTTXZZ	Resection of Prepuce, External Approach	Resection of Prepuce, External Approach	2780523	2780523
ICD10PCS:0W9930Z	Drainage of Right Pleural Cavity with Drainage Device, Percutaneous Approach	Drainage of Right Pleural Cavity with Drainage Device, Percutaneous Approach	2779527	2779527
ICD10PCS:0W9B30Z	Drainage of Left Pleural Cavity with Drainage Device, Percutaneous Approach	Drainage of Left Pleural Cavity with Drainage Device, Percutaneous Approach	2779536	2779536
